category,sub_category,term,source_type,priority,sample_hits,example_sentence,note
硬信息处理,组合与配置,策略组合模型,样本原词,1,1,7号/广发证券股份有限公司/2021.0：结合资产配置投研体系，根据客户需求构建策略组合模型，制定相应投资投资组合,
硬信息处理,组合与配置,构建策略组合模型,样本原词,1,1,7号/广发证券股份有限公司/2021.0：结合资产配置投研体系，根据客户需求构建策略组合模型，制定相应投资投资组合,
硬信息处理,组合与配置,账户管理,样本原词,1,1,7号/广发证券股份有限公司/2021.0：负责组织开展针对高净值客户的定制化资产配置业务落地，结合资产管理为客户提供账户管理服务,
硬信息处理,组合与配置,配置方案,样本原词,1,3,12号/大唐财富投资管理有限公司/2022：分析客户的理财需求，为客户制订资产配置方案并向客户提供投资建议,
硬信息处理,组合与配置,调整配置,样本原词,1,1,17号/长城证券/2026：定期评估客户的投资组合，根据市场变化调整配置，优化收益风险比,
硬信息处理,组合与配置,优化收益风险比,样本原词,1,1,17号/长城证券/2026：定期评估客户的投资组合，根据市场变化调整配置，优化收益风险比,
硬信息处理,投资研究与报告,宏观经济数据,样本原词,1,1,5号/光大证券股份有限公司/2020.0：对宏观经济数据、驱动因素和投资策略进行积极跟踪，撰写各种策略分析报告,
硬信息处理,投资研究与报告,驱动因素,样本原词,1,1,5号/光大证券股份有限公司/2020.0：对宏观经济数据、驱动因素和投资策略进行积极跟踪，撰写各种策略分析报告,
硬信息处理,投资研究与报告,投资策略,样本原词,1,3,5号/光大证券股份有限公司/2020.0：对宏观经济数据、驱动因素和投资策略进行积极跟踪，撰写各种策略分析报告,
硬信息处理,投资研究与报告,投资策略分析,样本原词,1,1,5号/光大证券股份有限公司/2020.0：负责资产配置及投资策略分析，为客户经理提出行业配置以及投资策略建议协助客户实现资产保值增值,
硬信息处理,投资研究与报告,策略分析报告,样本原词,1,1,5号/光大证券股份有限公司/2020.0：对宏观经济数据、驱动因素和投资策略进行积极跟踪，撰写各种策略分析报告,
硬信息处理,投资研究与报告,投资分析报告,样本原词,1,1,17号/长城证券/2026：撰写投资分析报告，挖掘行业和个股机会，为客户提供决策依据,
硬信息处理,投资研究与报告,研究成果,样本原词,1,1,5号/光大证券股份有限公司/2020.0：围绕A股及期权进行深入研究，提供专业研究成果，生成通俗化的内容和课件或出镜，解答投资者疑问,
硬信息处理,投资研究与报告,市场调研,样本原词,1,1,17号/长城证券/2026：协助完成部门相关工作，如市场调研、产品推广等,
硬信息处理,投资研究与报告,市场研判,理论扩展,2,0,,
硬信息处理,投资研究与报告,政策预判,样本原词,1,1,7号/广发证券股份有限公司/2021.0：具备良好的宏观经济及金融市场知识，熟悉国际、国内资本市场，有较强的行业、金融产品分析和政策预判能力,
硬信息处理,投资研究与报告,行业分析,样本原词,1,1,17号/长城证券/2026：善于解读宏观经济、行业分析，能独立做投资决策和资产配置,
硬信息处理,投资研究与报告,个股机会,样本原词,1,1,17号/长城证券/2026：撰写投资分析报告，挖掘行业和个股机会，为客户提供决策依据,
硬信息处理,投资研究与报告,市场动态,样本原词,1,1,17号/长城证券/2026：提供专业的股票、基金等投资咨询服务，解答客户疑问，帮助理解市场动态,
硬信息处理,投资研究与报告,市场热点,样本原词,1,1,5号/光大证券股份有限公司/2020.0：宣讲正确的投资理念，剖析市场热点，为投资者提供指导和帮助，全方位宣传公司形象,
硬信息处理,投资建议与咨询,投资建议,样本原词,1,3,3号/中信建投证券股份有限公司/2020.0：负责分析客户的需求并制定合理的投资建议,
硬信息处理,投资建议与咨询,投资咨询,样本原词,1,7,3号/中信建投证券股份有限公司/2020.0：负责对产品、业务推广提供投资咨询、资讯支持,
硬信息处理,投资建议与咨询,理财咨询,样本原词,1,2,5号/光大证券股份有限公司/2020.0：负责为客户提供专业的投资理财咨询服务，并定期针对不同客户群开展理财报告会等形式的服务、推广活动,
硬信息处理,投资建议与咨询,资讯支持,样本原词,1,2,3号/中信建投证券股份有限公司/2020.0：负责对产品、业务推广提供投资咨询、资讯支持,
硬信息处理,投资建议与咨询,决策依据,样本原词,1,1,17号/长城证券/2026：撰写投资分析报告，挖掘行业和个股机会，为客户提供决策依据,
硬信息处理,数据与量化,数据分析,样本原词,1,1,7号/广发证券股份有限公司/2021.0：具备较强的市场和客户服务意识，具有较好的资料搜集、数据分析、报告写作、客户沟通和演讲能力,
硬信息处理,数据与量化,资料搜集,样本原词,1,1,7号/广发证券股份有限公司/2021.0：具备较强的市场和客户服务意识，具有较好的资料搜集、数据分析、报告写作、客户沟通和演讲能力,
硬信息处理,数据与量化,量化分析,样本原词,1,1,17号/长城证券/2026：擅长运用数据管理和量化分析工具,
硬信息处理,数据与量化,数据管理,样本原词,1,1,17号/长城证券/2026：擅长运用数据管理和量化分析工具,
硬信息处理,数据与量化,分析判断,样本原词,1,1,6号/方正证券股份有限公司/2021.0：具有较强的逻辑思维和分析判断能力，良好的工种演讲和沟通能力,
硬信息处理,数据与量化,收益测算,理论扩展,2,0,,
硬信息处理,数据与量化,风险测算,理论扩展,2,0,,
软信息与信任转化,需求识别与客户理解,客户需求,样本原词,1,3,4号/新湖财富投资管理有限公司/2020.0：了解客户需求，为客户提供专业的投资理财服务,
软信息与信任转化,需求识别与客户理解,客户的需求,样本原词,1,2,3号/中信建投证券股份有限公司/2020.0：负责分析客户的需求并制定合理的投资建议,
软信息与信任转化,需求识别与客户理解,客户需求分析,样本原词,1,1,14号/湘财证券股份有限公司/2025.0：具备良好的沟通协调能力，具备扎实的金融知识及市场洞察能力，具备客户需求分析及挖掘能力,
软信息与信任转化,需求识别与客户理解,需求挖掘,理论扩展,2,0,,
软信息与信任转化,需求识别与客户理解,挖掘客户潜在需求,理论扩展,2,0,,
软信息与信任转化,需求识别与客户理解,了解客户需求,样本原词,1,1,4号/新湖财富投资管理有限公司/2020.0：了解客户需求，为客户提供专业的投资理财服务,
软信息与信任转化,需求识别与客户理解,潜在需求,样本原词,1,1,7号/广发证券股份有限公司/2021.0：参与针对高净值客户的策略路演和大类资产配置投资培训，挖掘客户的潜在需求，配合公司产品进行宣传、推广、销售,
软信息与信任转化,关系维护与陪伴,客户维护,理论扩展,2,0,,
软信息与信任转化,关系维护与陪伴,维护客户,理论扩展,2,0,,
软信息与信任转化,关系维护与陪伴,客户关系,样本原词,1,2,7号/广发证券股份有限公司/2021.0：负责维持重要客户关系，根据客户反馈和市场变化，对投资决策体系进行优化，及时调整客户的投资计划,
软信息与信任转化,关系维护与陪伴,核心客户关系,样本原词,1,1,17号/长城证券/2026：维护核心客户关系，通过回访、培训等方式提升满意度，降低流失率,
软信息与信任转化,关系维护与陪伴,长期良好的关系,样本原词,1,1,4号/新湖财富投资管理有限公司/2020.0：开拓及维护个人中高端客户，并与客户建立长期良好的关系,
软信息与信任转化,关系维护与陪伴,持续跟进与服务,样本原词,1,1,12号/大唐财富投资管理有限公司/2022：持续跟进与服务，不断为客户提供专业服务,
软信息与信任转化,关系维护与陪伴,客户回访,理论扩展,2,0,,
软信息与信任转化,关系维护与陪伴,满意度,样本原词,1,1,17号/长城证券/2026：维护核心客户关系，通过回访、培训等方式提升满意度，降低流失率,
软信息与信任转化,关系维护与陪伴,降低流失率,样本原词,1,1,17号/长城证券/2026：维护核心客户关系，通过回访、培训等方式提升满意度，降低流失率,
软信息与信任转化,关系维护与陪伴,客户服务,样本原词,1,7,4号/新湖财富投资管理有限公司/2020.0：以客户为中心，对金融行业及投资理财充满热忱，具备一定的沟通协调能力、客户服务能力和产品营销能力,
软信息与信任转化,关系维护与陪伴,专业服务,样本原词,1,3,9号/长江证券股份有限公司/2021.0：负责为营销人员开发和服务客户提供业务支持和专业服务,
软信息与信任转化,关系维护与陪伴,高端客户服务,样本原词,1,1,14号/湘财证券股份有限公司/2025.0：具备高端客户服务意识和理念，并对公司文化以及高客服务理念有较高的认同感,
软信息与信任转化,解释沟通与投资者教育,沟通能力,样本原词,1,4,3号/中信建投证券股份有限公司/2020.0：能力要求：两年以上投顾工作经验，有良好的沟通能力、学习能力,
软信息与信任转化,解释沟通与投资者教育,沟通表达,样本原词,1,2,16号/江海证券有限公司/2026：性格开朗，才思敏捷，具备优秀的写作能力和沟通表达能力,
软信息与信任转化,解释沟通与投资者教育,演讲能力,样本原词,1,1,7号/广发证券股份有限公司/2021.0：具备较强的市场和客户服务意识，具有较好的资料搜集、数据分析、报告写作、客户沟通和演讲能力,
软信息与信任转化,解释沟通与投资者教育,讲座,样本原词,1,3,3号/中信建投证券股份有限公司/2020.0：负责为投资者举办讲座和投资报告会,
软信息与信任转化,解释沟通与投资者教育,投资报告会,样本原词,1,3,3号/中信建投证券股份有限公司/2020.0：负责为投资者举办讲座和投资报告会,
软信息与信任转化,解释沟通与投资者教育,理财报告会,样本原词,1,1,5号/光大证券股份有限公司/2020.0：负责为客户提供专业的投资理财咨询服务，并定期针对不同客户群开展理财报告会等形式的服务、推广活动,
软信息与信任转化,解释沟通与投资者教育,策略路演,样本原词,1,1,7号/广发证券股份有限公司/2021.0：参与针对高净值客户的策略路演和大类资产配置投资培训，挖掘客户的潜在需求，配合公司产品进行宣传、推广、销售,
软信息与信任转化,解释沟通与投资者教育,投资培训,样本原词,1,1,7号/广发证券股份有限公司/2021.0：参与针对高净值客户的策略路演和大类资产配置投资培训，挖掘客户的潜在需求，配合公司产品进行宣传、推广、销售,
软信息与信任转化,解释沟通与投资者教育,客户培训,理论扩展,2,0,,
软信息与信任转化,解释沟通与投资者教育,解答客户疑问,样本原词,1,1,17号/长城证券/2026：提供专业的股票、基金等投资咨询服务，解答客户疑问，帮助理解市场动态,
软信息与信任转化,解释沟通与投资者教育,解答投资者疑问,样本原词,1,1,5号/光大证券股份有限公司/2020.0：围绕A股及期权进行深入研究，提供专业研究成果，生成通俗化的内容和课件或出镜，解答投资者疑问,
软信息与信任转化,解释沟通与投资者教育,宣讲正确的投资理念,样本原词,1,1,5号/光大证券股份有限公司/2020.0：宣讲正确的投资理念，剖析市场热点，为投资者提供指导和帮助，全方位宣传公司形象,
软信息与信任转化,解释沟通与投资者教育,投资理念,样本原词,1,2,5号/光大证券股份有限公司/2020.0：宣讲正确的投资理念，剖析市场热点，为投资者提供指导和帮助，全方位宣传公司形象,
软信息与信任转化,解释沟通与投资者教育,帮助理解市场动态,样本原词,1,1,17号/长城证券/2026：提供专业的股票、基金等投资咨询服务，解答客户疑问，帮助理解市场动态,
软信息与信任转化,解释沟通与投资者教育,帮助客户理解市场波动,样本原词,1,1,17号/长城证券/2026：提示投资风险，帮助客户理解市场波动，提升风险意识,
软信息与信任转化,解释沟通与投资者教育,风险解释,理论扩展,2,0,,
软信息与信任转化,解释沟通与投资者教育,风险提示,理论扩展,2,0,,
软信息与信任转化,解释沟通与投资者教育,提示投资风险,样本原词,1,1,17号/长城证券/2026：提示投资风险，帮助客户理解市场波动，提升风险意识,
软信息与信任转化,行为引导与信任转化,引导产品配置,样本原词,1,1,5号/光大证券股份有限公司/2020.0：开展网上授课，微信群等社群维护和引导产品配置,
软信息与信任转化,行为引导与信任转化,提升风险意识,样本原词,1,1,17号/长城证券/2026：提示投资风险，帮助客户理解市场波动，提升风险意识,
软信息与信任转化,行为引导与信任转化,客户自主决策权,样本原词,1,1,17号/长城证券/2026：严格遵守合规要求，不代客操作或承诺收益，确保客户自主决策权,
软信息与信任转化,行为引导与信任转化,持续跟进,样本原词,1,2,12号/大唐财富投资管理有限公司/2022：持续跟进与服务，不断为客户提供专业服务,
软信息与信任转化,行为引导与信任转化,服务意识,样本原词,1,3,7号/广发证券股份有限公司/2021.0：具备较强的市场和客户服务意识，具有较好的资料搜集、数据分析、报告写作、客户沟通和演讲能力,
软信息与信任转化,行为引导与信任转化,以客户为中心,样本原词,1,1,4号/新湖财富投资管理有限公司/2020.0：以客户为中心，对金融行业及投资理财充满热忱，具备一定的沟通协调能力、客户服务能力和产品营销能力,
软信息与信任转化,营销转化与客户开发,客户开发,样本原词,1,2,12号/大唐财富投资管理有限公司/2022：具有客户资源和客户开发能力,
软信息与信任转化,营销转化与客户开发,开发新客户,样本原词,1,1,17号/长城证券/2026：开发新客户资源，参与营销活动，推广公司理财服务,
软信息与信任转化,营销转化与客户开发,开拓客户,样本原词,1,1,5号/光大证券股份有限公司/2020.0：利用公司平台资源优势，开拓客户资源并为客户提供深度咨询服务和大类资产配置建议,
软信息与信任转化,营销转化与客户开发,客户转化率,样本原词,1,1,12号/大唐财富投资管理有限公司/2022：参与策划各种高端客户活动（理财沙龙、知识讲座、红酒品鉴、高尔夫、豪车试驾、珠宝鉴赏等），提升客户转化率,
软信息与信任转化,营销转化与客户开发,客户资源,样本原词,1,8,4号/新湖财富投资管理有限公司/2020.0：2年以上金融机构（银行、信托、保险、证券、基金公司等）营销从业经历，具有一定行业资源、客户资源及私人银行理财工作经验者优先考虑,
软信息与信任转化,营销转化与客户开发,销售任务,样本原词,1,1,4号/新湖财富投资管理有限公司/2020.0：向目标客户推广信托产品，并根据信托计划完成销售任务,
软信息与信任转化,营销转化与客户开发,产品销售,样本原词,1,3,12号/大唐财富投资管理有限公司/2022：不断开拓各种渠道，接触并筛选有效客户，进行产品销售,
软信息与信任转化,营销转化与客户开发,营销活动,样本原词,1,2,6号/方正证券股份有限公司/2021.0：通过对投顾产品及客户的精细化运营，策划并实施各类线上营销活动，对活动指标负责,
软信息与信任转化,营销转化与客户开发,推广销售,理论扩展,2,0,,
人机接口,线上渠道与工具,线上营销活动,样本原词,1,1,6号/方正证券股份有限公司/2021.0：通过对投顾产品及客户的精细化运营，策划并实施各类线上营销活动，对活动指标负责,
人机接口,线上渠道与工具,线上运营工具,样本原词,1,1,6号/方正证券股份有限公司/2021.0：熟练掌握各类线上运营工具，对互联网发展模式有较强的商业洞察，有2年以上金融或互联网行业相关工作从业经验,
人机接口,线上渠道与工具,互联网发展模式,样本原词,1,1,6号/方正证券股份有限公司/2021.0：熟练掌握各类线上运营工具，对互联网发展模式有较强的商业洞察，有2年以上金融或互联网行业相关工作从业经验,
人机接口,线上渠道与工具,互联网金融,样本原词,1,2,8号/华闻期货有限公司/2021.0：华闻期货互联网金融部欢迎你的加入,
人机接口,线上渠道与工具,企业微信,样本原词,1,1,13号/浙江同花顺云软件有限公司/2024.0：分析客户的资金需求，企业微信维护跟单,
人机接口,线上渠道与工具,同花顺APP,样本原词,1,1,13号/浙江同花顺云软件有限公司/2024.0：公司提供客户资源：电话联系已注册同花顺APP的用户，回访客户进行金融产品的升级薪酬待遇：基本薪资5000/月+高提成，五险一金，包工作日双餐～月均薪资,
人机接口,线上渠道与工具,APP用户,理论扩展,2,0,,
人机接口,线上渠道与工具,小程序,样本原词,1,2,8号/华闻期货有限公司/2021.0：入驻策略军团小程序成为大咖，根据行情走势即时发出策略信号,
人机接口,线上渠道与工具,策略军团小程序,样本原词,1,1,8号/华闻期货有限公司/2021.0：入驻策略军团小程序成为大咖，根据行情走势即时发出策略信号,
人机接口,线上渠道与工具,转发小程序策略,样本原词,1,1,8号/华闻期货有限公司/2021.0：积极引流，提升个人的用户订阅数量，转发小程序策略及资讯（包括每日在朋友圈分享和相关的宣传）,
人机接口,线上渠道与工具,朋友圈分享,样本原词,1,1,8号/华闻期货有限公司/2021.0：积极引流，提升个人的用户订阅数量，转发小程序策略及资讯（包括每日在朋友圈分享和相关的宣传）,
人机接口,线上渠道与工具,公众号,样本原词,1,1,8号/华闻期货有限公司/2021.0：具备自媒体、公众号、知识付费行业等相关推广经验,
人机接口,线上渠道与工具,自媒体,样本原词,1,1,8号/华闻期货有限公司/2021.0：具备自媒体、公众号、知识付费行业等相关推广经验,
人机接口,线上渠道与工具,知识付费,样本原词,1,1,8号/华闻期货有限公司/2021.0：具备自媒体、公众号、知识付费行业等相关推广经验,
人机接口,线上渠道与工具,直播,样本原词,1,1,8号/华闻期货有限公司/2021.0：给予直播、咨询、文章费用补贴,
人机接口,线上渠道与工具,网上授课,样本原词,1,1,5号/光大证券股份有限公司/2020.0：开展网上授课，微信群等社群维护和引导产品配置,
人机接口,社群与数字化运营,微信群,样本原词,1,1,5号/光大证券股份有限公司/2020.0：开展网上授课，微信群等社群维护和引导产品配置,
人机接口,社群与数字化运营,社群维护,样本原词,1,1,5号/光大证券股份有限公司/2020.0：开展网上授课，微信群等社群维护和引导产品配置,
人机接口,社群与数字化运营,引流课程,样本原词,1,1,8号/华闻期货有限公司/2021.0：生产策略相关的引流课程、复盘笔记、交易心得等内容,
人机接口,社群与数字化运营,个人IP打造,样本原词,1,1,8号/华闻期货有限公司/2021.0：提供全面个人IP打造、持续为大咖推广提升大咖热度,
人机接口,社群与数字化运营,投顾产品精细化运营,理论扩展,2,0,,
人机接口,社群与数字化运营,精细化运营,样本原词,1,1,6号/方正证券股份有限公司/2021.0：通过对投顾产品及客户的精细化运营，策划并实施各类线上营销活动，对活动指标负责,
人机接口,社群与数字化运营,用户订阅数量,样本原词,1,1,8号/华闻期货有限公司/2021.0：积极引流，提升个人的用户订阅数量，转发小程序策略及资讯（包括每日在朋友圈分享和相关的宣传）,
人机接口,社群与数字化运营,用户订阅,样本原词,1,1,8号/华闻期货有限公司/2021.0：积极引流，提升个人的用户订阅数量，转发小程序策略及资讯（包括每日在朋友圈分享和相关的宣传）,
人机接口,系统平台与算法接口,展业平台,样本原词,1,1,16号/江海证券有限公司/2026：研究生以上学历，具备证券从业资格，遵守证券合规和展业平台的相关规定,
人机接口,系统平台与算法接口,投顾平台,理论扩展,2,0,,
人机接口,系统平台与算法接口,投顾系统,理论扩展,2,0,,
人机接口,系统平台与算法接口,智能投顾,理论扩展,2,0,,
人机接口,系统平台与算法接口,机器人投顾,理论扩展,2,0,,
人机接口,系统平台与算法接口,AI投顾,理论扩展,2,0,,
人机接口,系统平台与算法接口,CRM,理论扩展,2,0,,
人机接口,系统平台与算法接口,客户画像系统,理论扩展,2,0,,
人机接口,系统平台与算法接口,数字化工具,理论扩展,2,0,,
人机接口,系统平台与算法接口,智能推荐,理论扩展,2,0,,
人机接口,系统平台与算法接口,算法推荐,理论扩展,2,0,,
人机接口,系统平台与算法接口,模型解释,理论扩展,2,0,,
人机接口,系统平台与算法接口,量化分析工具,样本原词,1,1,17号/长城证券/2026：擅长运用数据管理和量化分析工具,
人机接口,系统平台与算法接口,数据管理工具,理论扩展,2,0,,
人机接口,合规留痕与线上流程,合规检查,样本原词,1,1,16号/江海证券有限公司/2026：协助部门合规专员完成各类定期合规检查工作,
人机接口,合规留痕与线上流程,合规要求,样本原词,1,1,17号/长城证券/2026：严格遵守合规要求，不代客操作或承诺收益，确保客户自主决策权,
人机接口,合规留痕与线上流程,合规专员,样本原词,1,1,16号/江海证券有限公司/2026：协助部门合规专员完成各类定期合规检查工作,
人机接口,合规留痕与线上流程,系统留痕,理论扩展,2,0,,
人机接口,合规留痕与线上流程,合规留痕,理论扩展,2,0,,
人机接口,合规留痕与线上流程,线上签约,理论扩展,2,0,,
人机接口,合规留痕与线上流程,回访记录,理论扩展,2,0,,
人机接口,合规留痕与线上流程,适当性留痕,理论扩展,2,0,,
人机接口,合规留痕与线上流程,风险揭示留痕,理论扩展,2,0,,
人机接口,内容生产与数字传播,策略信号,样本原词,1,1,8号/华闻期货有限公司/2021.0：入驻策略军团小程序成为大咖，根据行情走势即时发出策略信号,
人机接口,内容生产与数字传播,复盘笔记,样本原词,1,1,8号/华闻期货有限公司/2021.0：生产策略相关的引流课程、复盘笔记、交易心得等内容,
人机接口,内容生产与数字传播,交易心得,样本原词,1,1,8号/华闻期货有限公司/2021.0：生产策略相关的引流课程、复盘笔记、交易心得等内容,
人机接口,内容生产与数字传播,文章费用补贴,样本原词,1,1,8号/华闻期货有限公司/2021.0：给予直播、咨询、文章费用补贴,
人机接口,内容生产与数字传播,宣传单册,样本原词,1,1,5号/光大证券股份有限公司/2020.0：能独立撰写分析报告，以及形成宣传单册,
人机接口,内容生产与数字传播,课件,样本原词,1,1,5号/光大证券股份有限公司/2020.0：围绕A股及期权进行深入研究，提供专业研究成果，生成通俗化的内容和课件或出镜，解答投资者疑问,
人机接口,内容生产与数字传播,出镜,样本原词,1,1,5号/光大证券股份有限公司/2020.0：围绕A股及期权进行深入研究，提供专业研究成果，生成通俗化的内容和课件或出镜，解答投资者疑问,
